accuracy,loss,val_accuracy,val_loss
0.9627100825309753,0.11122144758701324,0.9894958138465881,0.044979315251111984
0.9716386795043945,0.1002870425581932,0.9957982897758484,0.040298942476511
0.9632353186607361,0.11281560361385345,0.9915966391563416,0.040583331137895584
0.9648109078407288,0.1032780334353447,0.993697464466095,0.039277177304029465
0.9611344337463379,0.11740514636039734,0.993697464466095,0.04153791069984436
0.9658613204956055,0.1103074848651886,0.9915966391563416,0.042961981147527695
0.9621848464012146,0.11130183935165405,0.9894958138465881,0.04742579534649849
0.9684873819351196,0.10477853566408157,0.993697464466095,0.04146360233426094
0.9695377945899963,0.10845911502838135,0.993697464466095,0.042998675256967545
0.9663865566253662,0.1030629500746727,0.9873949289321899,0.04485305771231651
0.9653361439704895,0.10702390223741531,0.9873949289321899,0.04506544768810272
0.966911792755127,0.10162978619337082,0.9915966391563416,0.040959980338811874
0.966911792755127,0.10042118281126022,0.9894958138465881,0.04371371492743492
0.9700630307197571,0.1034625768661499,0.9873949289321899,0.04652337729930878
0.9658613204956055,0.09472185373306274,0.9852941036224365,0.04482344537973404
0.963760495185852,0.10327222943305969,0.9852941036224365,0.038285382091999054
0.966911792755127,0.09677617251873016,0.9894958138465881,0.03980771079659462
0.9679622054100037,0.10160152614116669,0.9873949289321899,0.04702199622988701
0.9679622054100037,0.1026492565870285,0.9915966391563416,0.040224239230155945
0.9726890921592712,0.09187713265419006,0.9894958138465881,0.03760628402233124
0.9695377945899963,0.09304817765951157,0.9873949289321899,0.03778723627328873
0.9690126180648804,0.09699408710002899,0.993697464466095,0.03845378756523132
0.9653361439704895,0.09540178626775742,0.993697464466095,0.03627915680408478
0.9747899174690247,0.08653829246759415,0.9894958138465881,0.03968062996864319
0.9711134433746338,0.09449373930692673,0.9915966391563416,0.03957178071141243
0.9716386795043945,0.09762322902679443,0.9915966391563416,0.040473442524671555
0.9690126180648804,0.09883569180965424,0.993697464466095,0.04002353921532631
0.9747899174690247,0.08454440534114838,0.9873949289321899,0.043584100902080536
0.9658613204956055,0.10001761466264725,0.993697464466095,0.03687148168683052
0.9716386795043945,0.09172898530960083,0.9915966391563416,0.03918788954615593
